,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
강원,27.5,26.7,28.3,28.2,28.0,27.1,27.5,26.9,26.6,26.6,25.9,27.1,29.1,28.7,28.6
경기,76.2,75.2,74.9,76.3,75.9,72.8,72.5,72.6,71.6,67.7,66.6,67.4,70.1,69.9,68.4
경남,37.5,38.8,39.1,39.4,39.4,42.9,42.6,43.3,41.7,42.4,43.3,43.5,45.0,44.7,40.5
경북,29.6,27.8,28.9,28.7,27.7,29.3,28.1,28.3,28.0,29.1,30.0,33.3,32.7,33.3,31.9
광주,60.6,57.5,54.2,52.6,48.3,47.5,47.5,46.6,45.4,46.0,49.3,51.5,49.2,49.0,46.8
대구,73.9,70.7,63.9,59.5,54.7,56.3,53.5,52.8,51.8,51.7,53.1,57.1,56.6,54.2,51.6
대전,75.0,72.8,72.1,66.4,59.3,56.3,57.2,58.3,57.5,54.9,54.9,55.0,57.1,54.4,48.2
부산,73.4,70.2,62.9,60.5,58.3,57.6,56.4,57.4,56.6,57.4,56.8,60.1,60.1,58.7,56.7
서울,96.1,94.3,90.5,88.3,92.0,85.8,90.3,90.2,88.8,84.2,84.3,84.7,85.0,84.3,82.2
세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,50.6,54.8,59.0,70.5,69.2,72.7
울산,69.9,65.7,68.4,69.9,67.7,67.2,69.1,71.2,70.7,70.2,72.0,72.2,69.9,66.0,59.7
인천,70.0,69.2,69.8,71.0,74.2,70.4,69.3,71.0,67.3,66.9,64.4,67.0,65.4,67.0,64.6
전남,19.9,20.2,20.1,21.4,19.4,20.6,20.7,21.4,21.7,22.2,22.8,23.8,26.2,26.4,25.7
전북,25.1,23.9,23.5,22.6,23.6,24.6,24.5,26.0,25.7,27.0,27.6,29.7,28.6,27.9,26.5
제주,39.3,33.8,26.4,26.3,25.2,26.1,25.1,28.5,30.6,34.0,36.4,38.2,39.6,42.5,36.5
충남,32.7,35.3,36.9,37.8,36.6,36.6,35.4,35.5,36.0,35.6,35.2,38.7,39.3,38.9,37.8
충북,31.7,31.3,33.3,34.2,33.3,33.7,32.7,34.2,34.2,33.6,34.8,35.2,38.1,37.4,35.9
합계,56.2,54.4,53.6,53.9,53.6,52.2,51.9,52.3,51.1,50.3,50.6,52.5,53.7,53.4,51.4
