,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
강원,1513110,1505420,1503806,1508575,1512870,1529818,1536448,1538630,1542263,1544442,1549507,1550806,1550142,1543052,1541502
경기,10697215,10906033,11106211,11292264,11460610,11786622,11937415,12093299,12234630,12357830,12522606,12716780,12873895,13077153,13239666
경남,3160431,3172857,3196953,3225255,3250176,3290536,3308765,3319314,3333820,3350257,3364702,3373871,3380404,3373988,3362553
경북,2688491,2688577,2681364,2673931,2669876,2689920,2699195,2698353,2699440,2700794,2702826,2700398,2691706,2676831,2665836
광주,1401745,1407798,1413444,1422702,1433640,1454636,1463464,1469216,1472910,1475884,1472199,1469214,1463770,1459336,1456468
대구,2511306,2496115,2493261,2492724,2489781,2511676,2507271,2505644,2501588,2493264,2487829,2484557,2475231,2461769,2438031
대전,1454638,1466158,1475659,1480895,1484180,1503664,1515603,1524583,1532811,1531809,1518775,1514370,1502227,1489936,1474870
부산,3638293,3611992,3587439,3564577,3543030,3567910,3550963,3538484,3527635,3519401,3513777,3498529,3470653,3441453,3413841
서울,10167344,10181166,10192710,10200827,10208302,10312545,10249679,10195318,10143645,10103233,10022181,9930616,9857426,9765623,9729107
세종,0,0,0,0,0,0,0,113117,122153,156125,210884,243048,280100,314126,340575
울산,1087648,1092494,1099995,1112407,1114866,1126298,1135494,1147256,1156480,1166377,1173534,1172304,1165132,1155623,1148019
인천,2600495,2624391,2664576,2692696,2710579,2758296,2801274,2843981,2879782,2902608,2925815,2943069,2948542,2954642,2957026
전남,1967205,1942925,1929836,1919000,1913004,1918485,1914339,1909618,1907172,1905780,1908996,1903914,1896424,1882970,1868745
전북,1885335,1868365,1862277,1855772,1854508,1868963,1874031,1873341,1872965,1871560,1869711,1864791,1854607,1836832,1818917
제주,557569,558496,559258,560618,562663,571255,576156,583713,593806,607346,624395,641597,657083,667191,670989
충남,1962646,1974433,1995531,2018537,2037582,2075514,2101284,2028777,2047631,2062273,2077649,2096727,2116770,2126282,2123709
충북,1488803,1494559,1506608,1519587,1527478,1549528,1562903,1565628,1572732,1578933,1583952,1591625,1594432,1599252,1600007
합계,48782274,48991779,49268928,49540367,49773145,50515666,50734284,50948272,51141463,51327916,51529338,51696216,51778544,51826059,51849861
